codlogradouro;nome_logradouro_concatenado;nome_oficial_logradouro;nome_logradouro_resumido;cod_indica_pavimentacao;desc_indica_pavimentacao;indica_corredor_transporte;indica_perimetral;codbairro;nomeBairro
6939;RUA ARACATUBA;Rua Araçatuba;R. Aracatuba;S;Via Pavimentada;;;213;IPSEP
6947;RUA ARACE;Rua Arace;R. Arace;S;Via Pavimentada;;;566;NOVA DESCOBERTA
6955;RUA ARACOIABA;Rua Araçoiaba;R. Aracoiaba;X;Não definida;;;892;TEJIPIO
10502;RUA BEATRIZ;Rua Beatriz;R. Beatriz;S;Via Pavimentada;;;337;AGUA FRIA
10510;RUA BEBEDOURO;Rua Bebedouro;R. Bebedouro;S;Via Pavimentada;;;523;ALTO JOSE DO PINHO
10537;RUA BARAO DE BEBERIBE;Rua Barão de Beberibe;R. Barão de Beberibe;S;Via Pavimentada;;;205;BOA VIAGEM
10545;RUA BITUPITA;Rua Bitupita;R. Bitupita;N;Via Não Pavimentada;;;612;BREJO DA GUABIRABA
10553;RUA BEETHOVEN;Rua Beethoven;R. Beethoven;X;Não definida;;;817;SAN MARTIN
10561;RUA BEGE;Rua Bege;R. Bege;X;Não definida;;;531;MORRO DA CONCEICAO
10570;RUA BEIJUPIRA;Rua Beijupira;R. Beijupira;S;Via Pavimentada;;;558;VASCO DA GAMA
21628;RUA ENGENHO BELEZA;Rua Engenho Beleza;R. Engenho Beleza;S;Via Pavimentada;;;884;COHAB
22047;RUA ENGENHO MATARI;Rua Engenho Matari;R. Engenho Matari;S;Via Pavimentada;;;884;COHAB
21148;RUA ELIZEU CESAR;Rua Elizeu César;R. Elizeu Cesar;X;Não definida;;;850;AREIAS
21148;RUA ELIZEU CESAR;Rua Elizeu César;R. Elizeu Cesar;X;Não definida;;;825;JIQUIA
55867;RUA SITIO DOS COQUEIROS;Rua Sítio dos Coqueiros;R. Sítio  Dos Coqueiros;N;Via Não Pavimentada;;;736;VARZEA
24597;RUA FLOR DE LIZ;Rua Flôr de Liz;R. Flôr de Liz;N;Via Não Pavimentada;;;876;BARRO
28150;RUA GUATIMOZIM;Rua Guatimozim;R. Guatimozim;P;Via Parcialmente Pavimentada;;;876;BARRO
28169;RUA DR CARLOS ALVES;Rua Dr Carlos Alves;R. Dr Carlos Alves;S;Via Pavimentada;;;671;ZUMBI
28177;RUA GUEDES ALCOFORADO;Rua Guedes Alcoforado;R. Guedes Alcoforado;S;Via Pavimentada;;;868;JARDIM SAO PAULO
28185;RUA GUEDES PEREIRA;Rua Guedes Pereira;R. Guedes Pereira;S;Via Pavimentada;;;191;TAMARINEIRA
28185;RUA GUEDES PEREIRA;Rua Guedes Pereira;R. Guedes Pereira;S;Via Pavimentada;;;434;CASA AMARELA
58947;RUA RODOLFO RANGEL MOREIRA;Rua Rodolfo Rangel Moreira;R. Rodolfo Rangel Moreira;S;Via Pavimentada;;;647;MADALENA
63380;RUA GOIANINHA;Rua Goianinha;R. Goianinha;X;Não definida;;;434;CASA AMARELA
38911;RUA LIMA DUARTE;Rua Lima Duarte;R. Lima Duarte;S;Via Pavimentada;;;612;BREJO DA GUABIRABA
38920;RUA PADRE LIMA E SA;Rua Padre Lima e Sá;R. Padre Lima e Sa;S;Via Pavimentada;;;213;IPSEP
38938;RUA LIMEIRA;Rua Limeira;R. Limeira;P;Via Parcialmente Pavimentada;;;396;DOIS UNIDOS
76813;RUA MOGEIRO;Rua Mogeiro;R. Mogeiro;S;Via Pavimentada;;;256;BRASILIA TEIMOSA
89443;2TR INTERLANDIA;2ª Travessa Interlandia;2Tr Interlandia;N;Via Não Pavimentada;;;35;SAO JOSE
46329;RUA NISIA FLORESTA;Rua Nísia Floresta;R. Nisia Floresta;S;Via Pavimentada;;;884;COHAB
46280;RUA NINA;Rua Nina;R. Nina;S;Via Pavimentada;;;540;ALTO JOSE BONIFACIO
62138;RUA ULISSES PERNAMBUCANO;Rua Ulisses Pernambucano;R. Ulisses Pernambucano;S;Via Pavimentada;;;663;PRADO
63371;RUA GLORINHA;Rua Glorinha;R. Glorinha;S;Via Pavimentada;;;434;CASA AMARELA
62146;RUA ULISSES VIANA DE SOUZA;Rua Ulisses Viana de Souza;R. Ulisses Viana de Souza;S;Via Pavimentada;;;892;TEJIPIO
64378;RUA DR VICENTE GOMES;Rua Dr Vicente Gomes;R. Dr Vicente Gomes;S;Via Pavimentada;;;205;BOA VIAGEM
64386;RUA VICENTE LICINIO;Rua Vicente Licínio;R. Vicente Licinio;S;Via Pavimentada;;;213;IPSEP
64394;RUA DR VICENTE MEIRA;Rua Dr Vicente Meira;R. Dr Vicente Meira;S;Via Pavimentada;;;167;GRACAS
64408;RUA CAPITAO VICENTE DA MOTA;Rua Capitão Vicente da Mota;R. Cap Vicente da Mota;S;Via Pavimentada;;;205;BOA VIAGEM
64408;RUA CAPITAO VICENTE DA MOTA;Rua Capitão Vicente da Mota;R. Cap Vicente da Mota;S;Via Pavimentada;;;264;IMBIRIBEIRA
64548;RUA VIDEIRA;Rua Videira;R. Videira;S;Via Pavimentada;;;884;COHAB
68365;RUA EMANOEL BEZERRA DOS SANTOS;Rua Emanoel Bezerra dos Santos;R. Emanoel Bezerra dos Santos;S;Via Pavimentada;;;582;MACAXEIRA
68209;VIL ROSA;Vila Rosa;Vil Rosa;N;Via Não Pavimentada;;;876;BARRO
72362;3TR DO ARANDU;3ª Travessa do Arandu;3Tr do Arandu;S;Via Pavimentada;;;531;MORRO DA CONCEICAO
72303;RUA CIDRA;Rua Cidra;R. Cidra;S;Via Pavimentada;;;701;TORROES
72311;2TR ALTO DA CONQUISTA;2ª Travessa Alto da Conquista;2Tr Alto da Conquista;X;Não definida;;;540;ALTO JOSE BONIFACIO
76481;RUA MULUNGU;Rua Mulungu;R. Mulungu;N;Via Não Pavimentada;;;698;IPUTINGA
84840;RUA MARIANO GOMES DE OLIVEIRA;Rua Mariano Gomes de Oliveira;R. Mariano Gomes de Oliveira;N;Via Não Pavimentada;;;175;ENCRUZILHADA
84875;RUA INVESTIGAD JOSE DE CARVALHO;Rua Investigador José de Carvalho;R. Invest. José de Carvalho;N;Via Não Pavimentada;;;442;CASA FORTE
84875;RUA INVESTIGAD JOSE DE CARVALHO;Rua Investigador José de Carvalho;R. Invest. José de Carvalho;N;Via Não Pavimentada;;;434;CASA AMARELA
84883;2TR DA RUA DO MEIO;2ª Travessa da rua do Meio;2ª Tr.  da rua do Meio;N;Via Não Pavimentada;;;337;AGUA FRIA
84891;RUA GERALDO GAMBOA;Rua Geraldo Gambôa;R. Geraldo Gambôa;N;Via Não Pavimentada;;;698;IPUTINGA
84905;RUA S D 8490;Rua S D 8490;R. S D 8490;X;Não definida;;;60;COELHOS
84913;RUA PROFESSOR ALEXANDRE BORGES;Rua Professor Alexandre Borges;R. Prof Alexandre Borges;X;Não definida;;;434;CASA AMARELA
84913;RUA PROFESSOR ALEXANDRE BORGES;Rua Professor Alexandre Borges;R. Prof Alexandre Borges;X;Não definida;;;531;MORRO DA CONCEICAO
84930;RUA ESCRITOR CIRO DOS ANJOS;Rua Escritor Ciro dos Anjos;R. Escritor Ciro Dos Anjos;S;Via Pavimentada;;;507;APIPUCOS
84948;RUA ORFEU DO CARNAVAL;Rua Orfeu do Carnaval;R. Orfeu do Carnaval;S;Via Pavimentada;;;752;CURADO
84948;RUA ORFEU DO CARNAVAL;Rua Orfeu do Carnaval;R. Orfeu do Carnaval;S;Via Pavimentada;;;906;SANCHO
88870;PTE JOAO DE BARROS;Ponte João de Barros;Pte João de Barros;S;Via Pavimentada;;;124;ESPINHEIRO
93688;TRV LUIZ MALHEIROS;Travessa Luiz Malheiros;Tr. Luiz Malheiros;N;Via Não Pavimentada;;;884;COHAB
93700;RUA ENGENHEIRO CORREIA;Rua Engenheiro Correia;R. Eng Correia;P;Via Parcialmente Pavimentada;;;396;DOIS UNIDOS
99961;RUA GEORGE DE SOUZA PACHECO;Rua George de Souza Pacheco;R. George de Souza Pacheco;N;Via Não Pavimentada;;;310;CAMPINA DO BARRETO
100005;RUA ESTRELA DO SUL;Rua Estrela do Sul;R. Estrela do Sul;N;Via Não Pavimentada;;;400;PASSARINHO
100013;RUA ATENAS;Rua Atenas;R. Atenas;N;Via Não Pavimentada;;;400;PASSARINHO
100021;RUA MONTE LIBANO;Rua Monte Libano;R. Monte Libano;N;Via Não Pavimentada;;;400;PASSARINHO
110973;RUA CANTORA EMILINHA BORBA;Rua Cantora Emilinha Borba;R. Cantora Emilinha Borba;S;Via Pavimentada;;;876;BARRO
110981;RUA CANTOR CARLOS GARDEAU;Rua Cantor Carlos Gardeu;R Cantor Carlos Gardeu;S;Via Pavimentada;;;876;BARRO
110990;RUA CANTOR FRANCISCO ALVES;Rua Cantor Francisco Alves;R. Cantor Francisco Alves;S;Via Pavimentada;;;876;BARRO
115568;TRV NOVA AURORA;Travessa Nova Aurora;Trv Nova Aurora;N;Via Não Pavimentada;;;43;ILHA JOANA BEZERRA
115282;TRV LIMA CAMPOS;Travessa Lima Campos;Trv Lima Campos;S;Via Pavimentada;;;221;JORDAO
115290;1TR JAGUARE;1ª Travessa Jaguare;1Tr Jaguare;X;Não definida;;;221;JORDAO
115320;1TR BELO ORIENTE;2ª Travessa Alegria;2Tr Alegria;X;Não definida;;;221;JORDAO
115339;TRV JOSE PENANTE;Travessa José Penante;Trv José Penante;X;Não definida;;;108;SANTO AMARO
115347;REF AV.ALBERTO SANTOS DUMONT;Refúgio Avenida Alberto Santos Dumont;Ref Av. Alberto Santos Dumont;S;Via Pavimentada;;;221;JORDAO
125407;RUA DOMINGOS DE BARROS MELO;Rua Domingos de Barros Melo;R. Domingos de Barros Melo;X;Não definida;;;655;TORRE
119520;RUA JOAQUIM GENUINO AMANCIO;Rua Joaquim Genuíno Amâncio;R. Joaquim Genuino Amancio;S;Via Pavimentada;;;736;VARZEA
126500;RUA SEVERINO MIGUEL MOURA;Rua Severino Miguel Moura;R. Severino Miguel Moura;S;Via Pavimentada;;;604;SITIO DOS PINTOS
126519;RUA JOSE DE VASCONCELOS;Rua José de Vasconcelos;Rua José de Vasconcelos;N;Via Não Pavimentada;;;698;IPUTINGA
126527;RUA IRLANDA;RUA IRLANDA;R. IRLANDA;N;Via Não Pavimentada;;;264;IMBIRIBEIRA
126659;RUA CANADA;Rua Canadá;R. Canadá;N;Via Não Pavimentada;;;264;IMBIRIBEIRA
115363;RUA MARAVILHA;Rua Maravilha;R. Maravilha;N;Via Não Pavimentada;;;396;DOIS UNIDOS
58882;RUA DA RODA;Rua da Roda;R. da Roda;X;Não definida;;;27;SANTO ANTONIO
71773;VIL IRACY;Vila Iracy;Vila Iracy;S;Via Pavimentada;;;442;CASA FORTE
13544;RUA CAMACARI;Rua Camaçari;R. Camacari;X;Não definida;;;671;ZUMBI
24414;RUA LAPA;Rua Lapa;R. Lapa;N;Via Não Pavimentada;;;108;SANTO AMARO
64157;RUA VERBENA;Rua Verbena;R. Verbena;S;Via Pavimentada;;;264;IMBIRIBEIRA
3930;RUA COMPOSITOR SERGIO LISBOA;Rua Compositor Sérgio Lisboa;R. Comp Sergio Lisboa;N;Via Não Pavimentada;;;698;IPUTINGA
4456;RUA ANA ANGELICA;Rua Ana Angélica;R. Ana Angelica;S;Via Pavimentada;;;140;DERBY
3565;RUA DR ALUISIO BALTAR;Rua Doutor Aluísio Baltar;R. Dr Aluísio Baltar;S;Via Pavimentada;;;698;IPUTINGA
3573;RUA DR ALUISIO MARQUES;Rua Dr Aluísio Marques;R. Dr Aluisio Marques;N;Via Não Pavimentada;;;736;VARZEA
3905;RUA AMALIA BERNARDINO DE SOUZA;Rua Amália Bernardino de Souza;R. Amalia Bernardino de Souza;P;Via Parcialmente Pavimentada;;;205;BOA VIAGEM
3913;RUA AMALITA;Rua Amalita;R. Amalita;S;Via Pavimentada;;;582;MACAXEIRA
3921;RUA AMANA;Rua Amana;R. Amana;S;Via Pavimentada;;;540;ALTO JOSE BONIFACIO
3891;RUA AMALIA;Rua Amália;R. Amalia;N;Via Não Pavimentada;;;680;CORDEIRO
124400;RUA B;Rua B;R. B;N;Via Não Pavimentada;;;396;DOIS UNIDOS
3824;RUA ALVORADA DO SUL;Rua Alvorada do Sul;R. Alvorada do Sul;P;Via Parcialmente Pavimentada;;;230;IBURA
3832;RUA JOSE PEREGRINO;Rua José Peregrino;R. José Peregrino;S;Via Pavimentada;;;698;IPUTINGA
3840;RUA AMADEU CARMO FERREIRA;Rua Amadeu Carmo Ferreira;R. Amadeu Carmo Ferreira;P;Via Parcialmente Pavimentada;;;418;GUABIRABA
124419;RUA A;Rua A;R. A;N;Via Não Pavimentada;;;396;DOIS UNIDOS
7137;RUA SERGI;Rua Sergi;R. Sergi;S;Via Pavimentada;;;620;CORREGO DO JENIPAPO
8958;RUA DR AUGUSTO MACIEL;Rua Dr Augusto Maciel;R. Dr Augusto Maciel;S;Via Pavimentada;;;302;HIPODROMO
7846;RUA ARIPIBU;Rua Aripibu;R. Aripibu;S;Via Pavimentada;;;515;MANGABEIRA
7846;RUA ARIPIBU;Rua Aripibu;R. Aripibu;S;Via Pavimentada;;;523;ALTO JOSE DO PINHO
7854;RUA ARIPUANA;Rua Aripuanã;R. Aripuana;N;Via Não Pavimentada;;;35;SAO JOSE
6963;RUA CHA GRANDE;Rua Chã Grande;R. Cha Grande;S;Via Pavimentada;;;558;VASCO DA GAMA
6971;PRC MANUEL MARKMAN;Praça Manuel Markman;Prc Manuel Markman;S;Via Pavimentada;;;469;PARNAMIRIM
6971;PRC MANUEL MARKMAN;Praça Manuel Markman;Prc Manuel Markman;S;Via Pavimentada;;;159;JAQUEIRA
126314;TRV BETIM;Travessa Betim;Trv. Betim;S;Via Pavimentada;;;779;AFOGADOS
12742;RUA BUJARI;Rua Bujari;R. Bujari;S;Via Pavimentada;;;51;CABANGA
14753;BEC DO CARDIN;Beco do Cardin;Bec do Cardin;N;Via Não Pavimentada;;;442;CASA FORTE
15202;RUA CARMINHA;Rua Carminha;R. Carminha;N;Via Não Pavimentada;;;825;JIQUIA
13552;RUA CAMANDUCAIA;Rua Camanducaia;R. Camanducaia;S;Via Pavimentada;;;884;COHAB
12360;RUA LAGOA DA CANOA;Rua Lagoa da Canoa;R. Lagoa da Canoa;N;Via Não Pavimentada;;;655;TORRE
16640;RUA CHAPECO;Rua Chapecó;R. Chapeco;S;Via Pavimentada;;;922;COQUEIRAL
16659;AV CHARLES DARWIN;Avenida Charles Darwin;Av Charles Darwin;S;Via Pavimentada;;;205;BOA VIAGEM
14176;RUA CUNANIL;Rua Cunanil;R. Cunanil;S;Via Pavimentada;;;400;PASSARINHO
14192;TRV MONSENHOR TEOBALDO ROCHA;Travessa Monsenhor Teobaldo Rocha;Trv Monsenhor Teobaldo Rocha;S;Via Pavimentada;;;566;NOVA DESCOBERTA
14206;RUA MARIA CANDIDA;Rua Maria Cândida;R. Maria Candida;S;Via Pavimentada;;;582;MACAXEIRA
14214;RUA CANDIDA LOPES MARQUES;Rua Cândida Lopes Marques;R. Candida Lopes Marques;P;Via Parcialmente Pavimentada;;;698;IPUTINGA
14222;RUA GENERAL CANDIDO BORGES CASTELO BRANCO;Rua General Cândido Borges Castelo Branco;R. Gal Candido Borges Castelo Branco;S;Via Pavimentada;;;698;IPUTINGA
137537;RUA D;Rua D;R. D;N;Via Não Pavimentada;;;396;DOIS UNIDOS
137545;RUA E;Rua E;R. E;N;Via Não Pavimentada;;;396;DOIS UNIDOS
21881;RUA ENGENHO D'AGUA;Rua Engenho D`Agua;R. Engenho D`Agua;S;Via Pavimentada;;;884;COHAB
21539;RUA ENGENHO BARRA BRANCA;Rua Engenho Barra Branca;R. Engenho Barra Branca;S;Via Pavimentada;;;884;COHAB
21180;RUA ELOI MENDES;Rua Eloi Mendes;R. Eloi Mendes;N;Via Não Pavimentada;;;736;VARZEA
21199;RUA DELMIRO GOUVEIA;Rua Delmiro Gouveia;R. Delmiro Gouveia;S;Via Pavimentada;;;701;TORROES
21199;RUA DELMIRO GOUVEIA;Rua Delmiro Gouveia;R. Delmiro Gouveia;S;Via Pavimentada;;;817;SAN MARTIN
21202;RUA ELPIDIO BRANCO;Rua Elpidio Branco;R. Elpidio Branco;S;Via Pavimentada;;;736;VARZEA
21210;RUA ATOR ELPIDIO CAMARA;Rua Ator Elpídio Câmara;R. Ator Elpidio Camara;S;Via Pavimentada;;;868;JARDIM SAO PAULO
21237;RUA DONA ELVIRA;Rua Dona Elvira;R. Dona Elvira;S;Via Pavimentada;;;302;HIPODROMO
21237;RUA DONA ELVIRA;Rua Dona Elvira;R. Dona Elvira;S;Via Pavimentada;;;175;ENCRUZILHADA
21245;RUA ELVIRA CARREIRA DE OLIVEIRA;Rua Elvira Carreira de Oliveira;R. Elvira Carreira de Oliveira;P;Via Parcialmente Pavimentada;;;78;ILHA DO LEITE
24600;RUA FLOR DE MARIZ;Rua Flor de Mariz;R. Flor de Mariz;S;Via Pavimentada;;;345;FUNDAO
24619;AV FLOR DE SANTANA;Avenida Flor de Santana;Av Flor de Santana;S;Via Pavimentada;;;469;PARNAMIRIM
24627;RUA FLOR DO SERTAO;Rua Flor do Sertão;R. Flor do Sertao;S;Via Pavimentada;;;221;JORDAO
24635;1TR DA CAIXA D'AGUA;1ª Travessa da Caixa D`Água;1Tr da Caixa D`Água;N;Via Não Pavimentada;;;884;COHAB
24643;2TR DO RABILO;2ª Travessa do Rabilo;2Tr do Rabilo;S;Via Pavimentada;;;884;COHAB
24651;RUA FLORA RICA;Rua Flora Rica;R. Flora Rica;P;Via Parcialmente Pavimentada;;;817;SAN MARTIN
24660;RUA FLORAI;Rua Floraí;R. Florai;S;Via Pavimentada;;;337;AGUA FRIA
24678;RUA FLORALIA;Rua Florália;R. Floralia;S;Via Pavimentada;;;442;CASA FORTE
24686;RUA FLORANIA;Rua Florânia;R. Florania;N;Via Não Pavimentada;;;337;AGUA FRIA
28568;RUA HEITOR MAIA;Rua Heitor Maia;R. Heitor Maia;S;Via Pavimentada;;;434;CASA AMARELA
29874;RUA IGUAI;Rua Iguai;R. Iguai;X;Não definida;;;515;MANGABEIRA
29882;RUA DAS ANGELICAS;Rua das Angélicas;R. das Angelicas;S;Via Pavimentada;;;248;PINA
28576;RUA HEITOR MAIA FILHO;Rua Heitor Maia Filho;R. Heitor Maia Filho;S;Via Pavimentada;;;647;MADALENA
28541;RUA HAVAI;Rua Havaí;R. Havai;S;Via Pavimentada;;;833;ESTANCIA
28240;RUA GUILHERME DE ALMEIDA;Rua Guilherme de Almeida;R. Guilherme de Almeida;N;Via Não Pavimentada;;;884;COHAB
28258;RUA GUILHERME DE ARAUJO;Rua Guilherme de Araújo;R. Guilherme de Araujo;S;Via Pavimentada;;;663;PRADO
28215;RUA DA GUIA;Rua da Guia;R. da Guia;S;Via Pavimentada;;;19;RECIFE
28223;RUA GUIDO BONE;Rua Guido Bone;R. Guido Bone;S;Via Pavimentada;;;612;BREJO DA GUABIRABA
28231;RUA GUIDOVAL;Rua Guidoval;R. Guidoval;N;Via Não Pavimentada;;;868;JARDIM SAO PAULO
32085;TRV DO JACINTO;Travessa do Jacinto;Trv do Jacinto;N;Via Não Pavimentada;;;167;GRACAS
33103;RUA JERONIMO INOJOSA;Rua Jerônimo  Inojosa;R. Jerônimo  Inojosa;N;Via Não Pavimentada;;;850;AREIAS
32050;RUA JACY;Rua Jacy;R. Jacy;P;Via Parcialmente Pavimentada;;;264;IMBIRIBEIRA
32069;RUA JACYARA;Rua Jacyara;R. Jacyara;S;Via Pavimentada;;;426;BOMBA DO HEMETERIO
32069;RUA JACYARA;Rua Jacyara;R. Jacyara;S;Via Pavimentada;;;337;AGUA FRIA
32077;RUA JACIGUA;Rua Jaciguá;R. Jacigua;N;Via Não Pavimentada;;;280;CAMPO GRANDE
31747;RUA CONFEDERACAO DO EQUADOR;Rua Confederação do Equador;R. Confederacao do Equador;N;Via Não Pavimentada;;;701;TORROES
31755;RUA IVAI;Rua Ivai;R. Ivai;N;Via Não Pavimentada;;;280;CAMPO GRANDE
31763;RUA GUARAMA;Rua Guarama;R. Guarama;N;Via Não Pavimentada;;;701;TORROES
31771;RUA BOM SUCESSO;Rua Bom Sucesso;R. Bom Sucesso;N;Via Não Pavimentada;;;701;TORROES
31780;RUA IVO AUGUSTO;Rua Ivo Augusto;R. Ivo Augusto;S;Via Pavimentada;;;523;ALTO JOSE DO PINHO
31798;RUA IVOLANDIA;Rua Ivolândia;R. Ivolandia;S;Via Pavimentada;;;582;MACAXEIRA
31798;RUA IVOLANDIA;Rua Ivolândia;R. Ivolandia;S;Via Pavimentada;;;566;NOVA DESCOBERTA
31801;RUA FREI MIGUELINHO;Rua Frei Miguelinho;R. Frei Miguelinho;S;Via Pavimentada;;;108;SANTO AMARO
31810;RUA PRINCESA ISABEL;Rua Princesa Isabel;R. Princesa Isabel;S;Via Pavimentada;;;27;SANTO ANTONIO
31810;RUA PRINCESA ISABEL;Rua Princesa Isabel;R. Princesa Isabel;S;Via Pavimentada;;;108;SANTO AMARO
31810;RUA PRINCESA ISABEL;Rua Princesa Isabel;R. Princesa Isabel;S;Via Pavimentada;;;86;BOA VISTA
32018;RUA JACAREACANGA;Rua Jacareacanga;R. Jacareacanga;S;Via Pavimentada;;;205;BOA VIAGEM
32026;RUA ARATIBA;Rua Aratiba;R. Aratiba;S;Via Pavimentada;;;701;TORROES
35955;RUA CABO JOSE GOMES;Rua Cabo José Gomes;R. Cabo José Gomes;S;Via Pavimentada;;;35;SAO JOSE
35726;RUA JOSE DOMINGOS DE LIMA;Rua José Domingos de Lima;R. José Domingos de Lima;S;Via Pavimentada;;;396;DOIS UNIDOS
35416;RUA JOSE BENTO BATISTA;Rua José Bento Batista;R. José Bento Batista;P;Via Parcialmente Pavimentada;;;280;CAMPO GRANDE
35424;RUA JOSE BENEDITO MOURY FERNANDES;Rua José Benedito Moury Fernandes;R. José Benedito Moury Fernandes;S;Via Pavimentada;;;876;BARRO
35432;RUA JOSE BEZERRA CAMARA;Rua José Bezerra Camara;R. José Bezerra Camara;N;Via Não Pavimentada;;;884;COHAB
35440;RUA JOSE BEZERRA CAVALCANTE;Rua José Bezerra Cavalcante;R. José Bezerra Cavalcante;S;Via Pavimentada;;;787;MUSTARDINHA
35459;RUA JOSE DA BOMBA;Rua José da Bomba;R. José da Bomba;S;Via Pavimentada;;;779;AFOGADOS
39020;AV LINO JORDAO;Avenida Lino Jordao;Av Lino Jordao;P;Via Parcialmente Pavimentada;;;205;BOA VIAGEM
39004;RUA SAO VICENTE;Rua São Vicente;R. São Vicente;S;Via Pavimentada;;;876;BARRO
49883;RUA FIJ;Rua FIJ;R. Fij;N;Via Não Pavimentada;;;841;CACOTE
39012;RUA PADRE LINO;Rua Padre Lino;R. Padre Lino;P;Via Parcialmente Pavimentada;;;850;AREIAS
38970;RUA LINDOIA DO NORTE;Rua Lindóia do Norte;R. Lindoia do Norte;S;Via Pavimentada;;;698;IPUTINGA
38989;RUA LINHA NOVA;Rua Linha Nova;R. Linha Nova;S;Via Pavimentada;;;922;COQUEIRAL
38997;AV SANTO ANTONIO;Avenida Santo Antônio;Av Santo Antônio;S;Via Pavimentada;;;876;BARRO
39039;RUA FLORES DO ORIENTE;Rua Flores do Oriente;R. Flores do Oriente;S;Via Pavimentada;;;221;JORDAO
39047;RUA LINDOLFO COLLOR;Rua Lindolfo Color;R. Lindolfo Color;S;Via Pavimentada;CTUS;;710;ENGENHO DO MEIO
39047;RUA LINDOLFO COLLOR;Rua Lindolfo Color;R. Lindolfo Color;S;Via Pavimentada;CTUS;;728;CIDADE UNIVERSITARIA
39055;RUA DA LINHA;Rua da Linha;R. da Linha;N;Via Não Pavimentada;;;205;BOA VIAGEM
46434;RUA NOEL ROSA;Rua Noel Rosa;R. Noel Rosa;S;Via Pavimentada;;;108;SANTO AMARO
43290;RUA MARSELHA;Rua Marselha;R. Marselha;N;Via Não Pavimentada;;;264;IMBIRIBEIRA
44482;RUA MIRALTA;Rua Miralta;R. Miralta;S;Via Pavimentada;;;787;MUSTARDINHA
44482;RUA MIRALTA;Rua Miralta;R. Miralta;S;Via Pavimentada;;;779;AFOGADOS
43001;RUA MARIO APOLINARIO;Rua Mário Apolinário;R. Mario Apolinario;X;Não definida;;;345;FUNDAO
42811;RUA MARQUES DE MARIALVA;Rua Marquês de Marialva;R. Marques de Marialva;S;Via Pavimentada;;;736;VARZEA
42862;RUA ONZE DE NOVEMBRO;Rua Onze de Novembro;R. Onze de Novembro;N;Via Não Pavimentada;;;701;TORROES
42870;RUA MARQUES DE MARICA;Rua Marquês de Maricá;R. Marques de Marica;S;Via Pavimentada;CTUS;;655;TORRE
42870;RUA MARQUES DE MARICA;Rua Marquês de Maricá;R. Marques de Marica;S;Via Pavimentada;CTUS;;680;CORDEIRO
49492;RUA PEUVA;Rua Pêuva;R. Peuva;X;Não definida;;;663;PRADO
49760;RUA PAULO GUERRA;Rua Paulo Guerra;R. Paulo Guerra;N;Via Não Pavimentada;;;744;CAXANGA
49778;RUA PAULO INOJOSA;Rua Paulo Inojosa;R. Paulo Inojosa;S;Via Pavimentada;;;477;POCO
46426;RUA PADRE NOBREGA;Rua Padre Nóbrega;R. Padre Nobrega;S;Via Pavimentada;;;876;BARRO
47368;RUA OLYMPIO  DE MENEZES;Rua Olympio de Menezes;R. Olympio de Menezes;S;Via Pavimentada;;;248;PINA
46337;RUA DAS NINFAS;Rua das Ninfas;R. das Ninfas;S;Via Pavimentada;;;86;BOA VISTA
46337;RUA DAS NINFAS;Rua das Ninfas;R. das Ninfas;S;Via Pavimentada;;;116;SOLEDADE
46345;RUA NISSIN BENSOUSSAN;Rua Nissin Bensoussan;R. Nissin Bensoussan;S;Via Pavimentada;;;680;CORDEIRO
46353;RUA NITEROI;Rua Niterói;R. Niteroi;S;Via Pavimentada;;;680;CORDEIRO
46361;RUA NIVALDO GOMES;Rua Nivaldo Gomes;R. Nivaldo Gomes;P;Via Parcialmente Pavimentada;;;280;CAMPO GRANDE
46370;RUA MACAE;Rua Macaé;R. Macae;N;Via Não Pavimentada;;;701;TORROES
46388;RUA NOBERTO SILVA;Rua Noberto Silva;R. Noberto Silva;N;Via Não Pavimentada;;;736;VARZEA
46396;RUA PUTINGA;Rua Putinga;R. Putinga;S;Via Pavimentada;;;566;NOVA DESCOBERTA
46400;RUA NOBRE DE LACERDA;Rua Nobre de Lacerda;R. Nobre de Lacerda;S;Via Pavimentada;;;663;PRADO
46400;RUA NOBRE DE LACERDA;Rua Nobre de Lacerda;R. Nobre de Lacerda;S;Via Pavimentada;;;647;MADALENA
46418;RUA NOBREGA;Rua Nóbrega;R. Nobrega;S;Via Pavimentada;;;540;ALTO JOSE BONIFACIO
53694;RUA SAMUEL MORSE;Rua Samuel Morse;R. Samuel Morse;N;Via Não Pavimentada;;;884;COHAB
53317;RUA SA E SOUZA;Rua Sá e Souza;R. Sa e Souza;P;Via Parcialmente Pavimentada;;;205;BOA VIAGEM
53325;RUA SAFIRA;Rua Safira;R. Safira;S;Via Pavimentada;;;337;AGUA FRIA
53333;RUA SAGRADA FAMILIA;Rua Sagrada Familia;R. Sagrada Familia;S;Via Pavimentada;;;310;CAMPINA DO BARRETO
53333;RUA SAGRADA FAMILIA;Rua Sagrada Familia;R. Sagrada Familia;S;Via Pavimentada;;;329;ARRUDA
53341;RUA SAGRES;Rua Sagres;R. Sagres;S;Via Pavimentada;;;230;IBURA
53350;RUA SAIRE;Rua Saire;R. Saire;N;Via Não Pavimentada;;;752;CURADO
53368;RUA SALAMANDRA;Rua Salamandra;R. Salamandra;X;Não definida;;;922;COQUEIRAL
53376;RUA JORNALISTA VILMA LESSA;Rua Jornalista Vilma Lessa;R. Jorn Vilma Lessa;S;Via Pavimentada;;;841;CACOTE
